season,name,retailer,category,shade,price,salePrice,url,confidence,img,dateAdded
coolSummer,Love & Roses Sequin V-Neck Printed Vest,next,top,dustyblue,216 RON,,https://www.next.ro/en/style/su957954/w11776,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W11776s.jpg,2024-12-25
lightSpring,Friends Like These Draped Off The Shoulder Top,next,top,coral,238 RON,,https://www.next.ro/en/style/su759831/w59414,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/W59414s.jpg,2024-12-25
lightSpring,Love & Roses Floral Print Bardot Top (Light Pink Light Blue),next,top,blush,253 RON,219 RON,https://www.next.ro/ro/style/su955348/g58545,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G58545s.jpg,2025-01-03
lightSpring,Love & Roses Floral Print Short Sleeve Blouse (Light Pink Light Yellow),next,top,butter,290 RON,203 RON,https://www.next.ro/ro/style/su891350/y29360,medium,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y29360s.jpg,2025-01-03
brightSpring,Lipsy 3/4 Sleeve Embroidered Grandad Blouse (Red),next,top,brighttomato,313 RON,219 RON,https://www.next.ro/ro/style/su901245/v25556,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/V25556s.jpg,2025-01-04
warmSpring,Sosandar Chiffon Draped Shell Top (Coral),next,top,coral,358 RON,338 RON,https://www.next.ro/ro/style/su870619/y23130,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/Y23130s.jpg,2025-01-05
lightSpring,Love & Roses Cotton Cutwork Crew Neck Shell Top (Mint Green),next,top,mint,283 RON,219 RON,https://www.next.ro/ro/style/su949238/g11152,high,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/G11152s.jpg,2025-01-05
lightSpring,Mohito Strappy Midi Dress,mohito,dress,coral,259 RON,199 RON,https://www.mohito.com/ro/ro/rochie-midi-cu-bretele-434jo-32x,high,https://static.mohito.com/media/catalog/product/4/3/434JO-32X-002-1-1222869.jpg,2025-01-10
lightSpring,Mohito Ribbed Top,mohito,top,butter,59 RON,45 RON,https://www.mohito.com/ro/ro/top-reiat-651he-10x,high,https://static.mohito.com/media/catalog/product/6/5/651HE-10X-002-1-1031990_13.jpg,2025-01-10
coolSummer,Mohito Viscose Maxi Dress,mohito,dress,slateblue,139 RON,99 RON,https://www.mohito.com/ro/ro/rochie-midi-din-viscoza-081hh-50x,high,https://static.mohito.com/media/catalog/product/0/8/081HH-50X-001-1-1028800_5.jpg,2025-01-15
